# _raj2000,SDSS,_dej2000
16.57278,J010617.46-005506.5,-0.91849
16.59971,J010623.93-000841.6,-0.14491
16.67946,J010643.07+010552.3,1.09789
16.71456,J010651.49+001051.4,0.18096
343.20529,J225249.27+011204.0,1.20111
16.83051,J010719.32-003724.0,-0.62334
343.19461,J225246.70+010758.0,1.1328
17.05023,J010812.05+000414.2,0.07062
342.92981,J225143.15+002455.0,0.41527
17.09684,J010823.24+000523.1,0.08978
17.24578,J010858.98+000529.2,0.09147
17.3653,J010927.67-003448.6,-0.58019
17.39646,J010935.15+002013.5,0.3371
17.44682,J010947.23+001010.5,0.16959
342.45367,J224948.88+005742.5,0.96183
17.66986,J011040.76+001628.1,0.2745
17.73924,J011057.42+003803.2,0.63424
18.01127,J011202.70-001549.5,-0.26375
18.01387,J011203.33-000403.6,-0.06769
18.03597,J011208.63-002436.7,-0.41021
18.07629,J011218.31-000450.6,-0.08074
18.09793,J011223.50+000445.0,0.07917
18.17545,J011242.11+010839.2,1.14423
341.67065,J224640.96+003236.2,0.54341
18.3634,J011327.21+000908.9,0.15249
18.38771,J011333.05+002948.0,0.49667
18.42428,J011341.82-000609.8,-0.10273
18.44301,J011346.32+001820.6,0.30573
341.56506,J224615.61+004748.9,0.79694
18.48826,J011357.18+002217.0,0.37142
341.47598,J224554.23+003014.4,0.50401
18.5658,J011415.79+004555.2,0.76533
18.60702,J011425.68+003209.9,0.53609
18.62441,J011429.85+001254.7,0.2152
18.62835,J011430.80+001928.2,0.32452
18.63437,J011432.24+003155.3,0.53205
18.68276,J011443.86+001709.6,0.28601
18.69559,J011446.94+003128.8,0.52468
18.70281,J011448.67-002946.0,-0.49614
18.73444,J011456.26+000750.4,0.13068
18.75115,J011500.27+000151.3,0.03092
18.75958,J011502.29+001546.6,0.26295
18.76515,J011503.63+002418.8,0.40523
18.78425,J011508.22+001337.5,0.2271
18.78056,J011507.33+002756.8,0.46578
18.78503,J011508.40+001813.0,0.30364
18.78662,J011508.78+001556.9,0.26582
18.78637,J011508.72+003433.5,0.57598
18.80978,J011514.34+002019.6,0.3388
18.83693,J011520.86+001533.5,0.25932
18.85152,J011524.36+001508.6,0.25241
18.88341,J011532.02+001723.3,0.28981
341.10153,J224424.36-000943.5,-0.16209
18.93631,J011544.71+001956.6,0.33241
18.9498,J011547.95+001427.7,0.24106
18.91933,J011540.64+011152.6,1.19796
18.97121,J011553.09+005736.7,0.96021
19.0138,J011603.31-000652.7,-0.11465
19.02334,J011605.60-000053.6,-0.01491
19.14863,J011635.66+004531.6,0.75879
